kills,deaths,assists,dragonKills,riftHeraldKills,baronKills,win,teamid
24,38,39,0,0,0,0,100
26,10,42,0,0,0,1,100
43,12,45,0,0,0,1,100
25,9,38,0,0,0,1,100
9,23,9,0,0,0,0,100
29,20,59,0,0,0,1,100
20,15,40,0,0,0,1,100
16,4,17,0,0,0,1,100
15,8,20,0,0,0,1,100
25,15,34,0,0,0,1,100
21,37,35,0,0,0,0,100
2,19,0,0,0,0,0,100
8,22,8,0,0,0,0,100
10,16,8,0,0,0,0,100
33,36,53,0,0,0,1,100
14,27,22,0,0,0,0,100
45,26,71,0,0,0,1,100
21,21,28,0,0,0,0,100
25,39,39,0,0,0,0,100
17,25,17,0,0,0,0,100
27,27,40,0,0,0,0,100
42,12,53,0,0,0,1,100
11,34,15,0,0,0,0,100
32,33,59,0,0,0,1,100
14,35,19,0,0,0,0,100
15,30,38,0,0,0,0,100
15,31,36,0,0,0,0,100
28,34,69,0,0,0,0,100
51,21,107,0,0,0,1,100
8,20,16,0,0,0,0,100
27,15,47,0,0,0,1,100
28,15,61,0,0,0,1,100
21,31,40,0,0,0,0,100
22,42,34,0,0,0,0,100
52,26,89,0,0,0,1,100
0,2,0,0,0,0,0,100
25,17,44,0,0,0,1,100
20,7,26,0,0,0,1,100
22,34,40,0,0,0,0,100
12,23,19,0,0,0,0,100
29,15,63,0,0,0,1,100
32,17,42,0,0,0,1,100
18,35,23,0,0,0,0,100
17,33,24,0,0,0,0,100
4,23,8,0,0,0,0,100
42,36,76,0,0,0,1,100
15,25,8,0,0,0,0,100
29,25,59,0,0,0,1,100
6,20,10,0,0,0,0,100
11,32,13,0,0,0,0,100
14,33,26,0,0,0,0,100
27,19,51,0,0,0,1,100
26,35,53,0,0,0,0,100
28,40,58,0,0,0,0,100
26,32,44,0,0,0,0,100
29,35,37,0,0,0,0,100
39,35,70,0,0,0,1,100
20,16,36,0,0,0,1,100
32,18,53,0,0,0,1,100
25,17,44,0,0,0,1,100
31,22,53,0,0,0,1,100
31,36,47,0,0,0,0,100
20,6,21,0,0,0,1,100
17,42,20,0,0,0,0,100
28,42,67,0,0,0,0,100
25,33,48,0,0,0,0,100
22,31,30,0,0,0,0,100
37,22,70,0,0,0,1,100
8,26,14,0,0,0,0,100
21,35,34,0,0,0,0,100
36,20,53,0,0,0,1,100
30,30,41,0,0,0,1,100
30,41,48,0,0,0,0,100
36,15,66,0,0,0,1,100
21,35,34,0,0,0,0,100
38,24,70,0,0,0,1,100
23,12,26,0,0,0,1,100
32,20,55,0,0,0,1,100
