blueteamwin,bluecreepsPerMin,bluegoldPerMinDeltas,bluexpPerMin,bluecsDiffPerMin,bluexpDiffPerMin,redteamwin,redcreepsPerMin,redgoldPerMin,redxpPerMin,redcsDiffPerMin,redxpDiffPerMin
1.00,6.70,376.30,474.00,0.38,38.76,0.00,0.20,260.90,282.40,-0.38,-38.76
1.00,1.40,191.60,210.00,0.38,38.76,0.00,5.80,253.20,283.10,-0.38,-38.76
1.00,5.50,290.60,380.90,0.38,38.76,0.00,1.20,137.60,166.00,-0.38,-38.76
1.00,9.20,346.60,413.80,0.38,38.76,0.00,4.70,195.40,323.50,-0.38,-38.76
0.00,7.60,262.30,341.40,-0.80,-18.50,1.00,5.50,355.90,417.90,-0.50,2.00
0.00,7.20,417.00,430.00,3.80,131.50,1.00,1.30,177.40,286.80,0.80,18.50
0.00,6.00,299.00,415.90,0.50,-2.00,1.00,8.10,287.90,346.90,0.80,18.50
0.00,0.20,168.00,255.30,-0.80,-18.50,1.00,3.40,197.80,298.50,-3.80,-131.50
0.00,0.60,267.50,286.20,-0.50,-55.10,1.00,1.10,362.90,341.30,0.50,55.10
1.00,6.10,226.50,383.50,-1.00,-78.20,0.00,7.10,307.20,461.70,1.00,78.20
1.00,8.40,436.10,346.10,1.00,49.60,0.00,1.70,228.20,258.90,-1.00,-49.60
1.00,0.40,259.70,280.10,1.00,49.60,0.00,0.70,342.10,438.80,-0.50,52.40
1.00,7.80,311.00,465.70,0.10,-10.10,0.00,5.10,231.50,268.10,-1.00,-49.60
1.00,1.20,336.00,386.40,0.50,-52.40,0.00,7.70,292.50,475.80,-0.10,10.10
1.00,0.80,267.10,271.50,0.00,-217.00,0.00,6.40,251.80,285.70,-0.55,-9.00
1.00,1.20,198.20,262.30,0.55,9.00,0.00,1.50,226.80,275.90,-0.55,-9.00
1.00,7.80,325.20,317.30,0.55,9.00,0.00,8.30,298.00,458.30,0.00,0.00
1.00,6.90,239.20,431.00,0.00,0.00,0.00,0.80,411.60,488.50,0.00,217.00
1.00,8.40,265.30,471.50,0.00,0.00,0.00,8.80,275.10,478.50,0.00,0.00
1.00,7.30,368.70,472.10,0.90,75.90,0.00,6.40,311.70,396.20,-0.90,-75.90
1.00,6.20,415.40,320.50,0.00,0.00,0.00,0.00,409.00,383.30,-2.40,-85.40
