teamid,win,csPerMin,goldPerMin,xpPerMin,csDiffPerMin,xpDiffperMin,,
100,0,3.9,284.3,333.94,-0.46,14.4,,
100,0,4.9,281.2,387.72,-0.3,13.98,,
100,1,4.54,340.3,332.62,-0.16,-1.04,,
100,0,4.38,276.68,359.52,-0.6,-30.38,,
100,0,4.28,261.06,345.62,0.34,19.54,,
100,0,4.38,273.28,351.64,-0.22,-3.5,,
100,0,4.2,300,351.38,-0.42,-42.48,,
100,0,4.78,307.24,339,0.46,14.34,,
100,0,5.34,270.28,368.12,0.6,-2.02,,
100,1,2.24,515.78,718.6,-0.2,-5.44,,
100,1,2.22,515.52,736.78,0.08,30.4,,
100,1,2.34,557.54,789.1,0.12,87.22,,
100,1,4.62,283.42,334.52,0,-5.68,,
100,0,3.8,262.72,307.98,-1.16,-58.36,,
100,0,4.62,264.68,356.58,-0.2,-42.68,,
100,0,4.76,289.4,337.84,0.38,-8.14,,
100,0,5,299.22,333.96,0.2,15.34,,
100,1,4.72,305.02,392.98,0.26,29.54,,
100,1,5.28,278.52,356.36,0.66,-18.5,,
100,0,4.24,286.7,344.12,-0.66,-23.46,,
100,0,3.5,237.94,290.04,-1.06,-82.52,,
100,0,4.64,279.38,344.6,-0.62,-46.44,,
100,1,4.92,329.14,406.8,0.48,46.46,,
100,0,5.08,246.06,352.16,-0.06,-32.96,,
100,1,1.86,510.18,706,0,0,,
100,1,4.62,256.92,324.8,0.18,-9.04,,
100,1,5.16,302.8,407.04,1.46,56.2,,
100,1,4.64,350.2,378.56,-0.16,16.46,,
100,0,4.4,318.74,366.24,-0.26,10.28,,
100,0,4.6,309.64,385.44,-0.26,37.18,,
100,0,4.76,294.34,342.04,0.02,-19.76,,
100,1,4.7,338.22,355.86,0.64,30.32,,
100,1,5.04,305.54,375.88,0.08,-4.06,,
100,1,4.88,315.74,362.6,0.46,23.66,,
100,0,4.64,306.48,359.9,0.4,37.04,,
100,1,5.18,344.58,410.02,1.34,85.32,,
100,1,4.88,263.42,354.54,0.36,-42.12,,
100,0,4.82,320.26,387.28,0.28,2.04,,
100,1,3.94,325.68,393.98,-0.74,30.32,,
100,1,4.66,287.78,374,1.04,30.28,,
100,1,4.98,296.54,358.46,0.08,-7.56,,
